BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
12-105907,True,False,False,False,False,False,
13-12355,False,False,True,False,False,False,
14-166770,False,False,False,False,True,False,
14-65343,False,False,True,False,False,False,
15-128213,False,False,False,False,False,False,
15-131465,False,False,True,False,False,False,
15-135158,False,False,True,False,False,False,
15-137859,False,False,True,False,False,False,
15-142508,False,False,False,False,False,False,Syndicat mixte départemental d'études et de traitement des déchets ménagers et assimilés de Vendée
15-147476,True,False,False,False,False,False,
15-152308,False,False,False,False,True,False,
15-152745,True,False,False,False,False,False,
15-155211,False,False,False,False,True,False,
15-164363,False,False,True,False,False,False,
15-164548,False,False,False,False,False,False,collectivité territoriale
15-166759,False,False,True,False,False,False,
15-167612,False,False,True,False,False,False,
15-167819,False,False,False,False,True,False,
15-167933,False,False,True,False,False,False,
15-167935,False,False,True,False,False,False,
15-168112,False,False,True,False,False,False,
15-169162,False,False,False,False,False,False,
15-169579,True,False,False,False,False,False,
15-171802,False,False,False,False,False,False,Collectivité territoriale
15-173153,False,False,True,False,False,False,
15-173856,False,False,False,False,True,False,
15-174710,False,False,False,False,True,False,
15-176481,False,False,True,False,False,False,
15-176987,False,False,False,False,True,False,
15-177233,False,False,False,False,True,False,
15-178279,True,False,False,False,False,False,
15-179202,False,False,True,False,False,False,
15-179390,False,False,True,False,False,False,
15-179707,False,False,True,False,False,False,
15-180282,True,False,False,False,False,False,
15-180325,False,False,False,False,False,False,Collectivité territoriale
15-180703,False,False,True,False,False,False,
15-181253,False,True,False,False,False,False,
15-182183,True,False,False,False,False,False,
15-183897,False,False,False,False,True,False,
15-183902,False,False,False,False,False,False,Collectivité Territoriale
15-184302,False,False,True,False,False,False,
15-184977,False,False,False,False,True,False,
15-184994,False,False,False,False,True,False,
15-185555,False,False,True,False,False,False,
15-185675,False,False,False,False,True,False,
15-186607,False,False,False,False,True,False,
15-186629,True,False,False,False,False,False,
15-186649,False,False,False,False,False,False,
15-186770,False,False,False,False,False,False,
15-186799,False,False,False,False,False,False,
15-186805,False,False,False,False,False,False,
15-186888,False,False,False,False,False,False,
15-187439,False,False,False,False,False,False,
15-187441,False,False,False,False,False,False,
15-187779,False,False,True,False,False,False,
15-188063,False,False,False,False,False,False,Société Publique Locale
15-188414,False,False,True,False,False,False,
15-188583,False,False,False,False,False,False,Etablissement public de santé
15-188932,False,False,True,False,False,False,
15-189003,False,False,True,False,False,False,
15-189301,False,False,True,False,False,False,
15-189347,True,False,False,False,False,False,
15-189872,False,False,True,False,False,False,
15-190099,False,False,True,False,False,False,
15-190332,False,False,True,False,False,False,
15-190493,False,False,True,False,False,False,
15-190581,False,False,False,False,True,False,
16-3342,False,False,False,False,True,False,
15-192920,False,True,False,False,False,False,
15-193011,True,False,False,False,False,False,
15-193475,False,False,False,False,False,False,
15-193518,False,False,True,False,False,False,
16-2156,False,False,True,False,False,False,
15-193613,False,False,True,False,False,False,
15-193954,False,False,True,False,False,False,
15-193964,False,False,True,False,False,False,
15-194216,False,False,True,False,False,False,
15-194237,True,False,False,False,False,False,
15-194243,False,False,True,False,False,False,
15-194335,False,False,False,False,False,False,Etablissement public de santé
15-194396,False,False,False,False,True,False,
15-194567,True,False,False,False,False,False,
15-194700,False,False,True,False,False,False,
15-194775,False,False,False,False,True,False,
15-58861,False,False,False,False,False,False,
15-84032,False,False,False,False,False,False,"eau, assainissement, voirie, déchets, .."
15-84057,True,False,False,False,False,False,
15-86306,False,False,False,False,True,False,
15-98439,False,False,True,False,False,False,
15-99730,False,False,True,False,False,False,
16-10014,False,False,True,False,False,False,
16-10087,False,False,True,False,False,False,
16-10169,False,False,True,False,False,False,
16-10170,False,False,True,False,False,False,
16-10174,False,False,True,False,False,False,
16-10197,True,False,False,False,False,False,
16-10337,False,False,True,False,False,False,
16-10373,False,False,False,False,False,False,
16-10412,False,False,False,False,False,False,
16-10472,False,False,False,False,True,False,
16-10481,False,False,False,False,False,False,
16-10552,False,False,False,False,False,False,
16-10580,False,False,True,False,False,False,
16-10640,False,False,False,False,False,False,EPCI
16-10702,False,False,False,False,False,False,
16-10728,False,True,False,False,False,False,
16-10744,False,True,False,False,False,False,
16-10762,False,False,True,False,False,False,
16-10804,False,False,False,False,False,False,
16-10917,False,False,True,False,False,False,
16-10918,False,False,True,False,False,False,
16-10948,False,False,False,False,False,False,Centre de gestion de la fonction publique territoriale
16-10952,False,False,False,False,False,False,EPS
16-10963,False,False,True,False,False,False,
16-10978,False,False,False,False,True,False,
16-11015,False,False,False,False,True,False,
16-11019,False,False,False,False,False,False,
16-11038,False,False,False,False,True,False,
16-11042,False,False,True,False,False,False,
16-11061,False,False,True,False,False,False,
16-11080,False,False,False,False,False,False,Association 
16-11153,False,False,False,False,False,False,SEM
16-11170,False,False,False,False,True,False,
16-11178,False,False,True,False,False,False,
16-11187,False,False,False,False,True,False,
16-11194,False,False,False,False,False,False,Caisse d'Allocations Familiales
16-11260,False,False,True,False,False,False,
16-11291,False,False,True,False,False,False,
16-11314,False,False,True,False,False,False,
16-11317,False,False,False,False,False,False,
16-11328,False,False,False,False,False,False,
16-11353,False,False,False,False,False,False,
16-11371,False,False,False,False,True,False,
16-11425,False,False,False,False,False,False,
16-11442,False,False,False,False,True,False,
16-11472,True,False,False,False,False,False,
16-11481,False,False,False,False,False,False,
16-11502,True,False,False,False,False,False,
16-11512,False,False,False,False,True,False,
16-11517,False,False,True,False,False,False,
16-11533,False,False,True,False,False,False,
16-11537,True,False,False,False,False,False,
16-11569,False,False,True,False,False,False,
16-11591,False,False,False,False,True,False,
16-11610,False,False,False,False,True,False,
16-11637,False,False,True,False,False,False,
16-11658,False,False,False,False,False,False,établissement public de coopération intercommunal
16-11669,False,False,True,False,False,False,
16-11674,False,False,False,False,True,False,
16-11706,False,False,False,False,True,False,
16-11710,False,False,False,False,False,False,
16-11734,False,False,False,False,False,False,
16-11768,False,False,False,False,False,False,Etablissement Public de Coopération Intercommunale
16-11794,False,False,True,False,False,False,
16-1182,False,False,True,False,False,False,
16-11894,False,False,False,False,False,False,
16-11953,False,False,True,False,False,False,
16-11982,False,False,True,False,False,False,
16-12071,False,False,True,False,False,False,
16-12074,False,False,True,False,False,False,
16-12119,False,False,True,False,False,False,
16-12122,False,False,True,False,False,False,
16-12124,False,False,True,False,False,False,
16-12192,False,False,True,False,False,False,
16-12223,False,False,True,False,False,False,
16-12224,False,False,False,False,False,False,
16-12269,False,False,True,False,False,False,
16-12321,False,False,False,False,False,False,
16-12338,False,False,False,False,True,False,
16-12340,False,False,True,False,False,False,
16-12399,False,False,True,False,False,False,
16-12434,False,False,False,False,True,False,
16-12463,False,False,True,False,False,False,
16-12484,False,False,True,False,False,False,
16-12507,False,False,False,False,True,False,
16-12572,False,False,False,False,True,False,
16-12614,True,False,False,False,False,False,
16-12621,False,False,True,False,False,False,
16-12628,False,False,False,False,False,False,
16-12636,False,False,False,False,True,False,
16-12670,False,False,True,False,False,False,
16-12694,False,False,True,False,False,False,
16-12732,False,False,False,False,False,False,
16-1278,False,False,False,False,True,False,
16-12820,False,False,True,False,False,False,
16-12906,False,False,False,False,False,False,Société Publique Locale
16-13021,False,False,True,False,False,False,
16-13034,False,False,True,False,False,False,
16-13042,False,False,True,False,False,False,
16-13088,False,False,False,False,True,False,
16-13103,False,False,False,False,True,False,
16-13106,False,False,True,False,False,False,
16-13129,False,False,False,False,True,False,
16-13170,False,False,True,False,False,False,
16-13184,False,False,False,False,False,False,Syndicat
16-13196,False,False,True,False,False,False,
16-2057,False,False,False,False,True,False,
16-13210,False,False,True,False,False,False,
