BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
16-21133,False,False,True,False,False,False,
16-21141,False,False,True,False,False,False,
16-21143,False,False,True,False,False,False,
16-21155,False,False,True,False,False,False,
16-21160,False,False,True,False,False,False,
16-21162,False,False,False,False,True,False,
16-21169,False,False,True,False,False,False,
16-21171,False,False,False,True,False,False,
16-21174,False,False,True,False,False,False,
16-21181,False,False,True,False,False,False,
16-21185,False,False,True,False,False,False,
16-21188,False,False,False,False,True,False,
16-21189,False,False,False,False,True,False,
16-21194,False,False,True,False,False,False,
16-21195,False,False,True,False,False,False,
16-21196,False,False,False,False,True,False,
16-21208,False,False,True,False,False,False,
15-185422,False,False,True,False,False,False,
16-21222,False,False,True,False,False,False,
16-21230,False,False,True,False,False,False,
16-21233,False,False,True,False,False,False,
16-21242,True,False,False,False,False,False,
16-21243,False,False,False,False,True,False,
16-21244,False,False,False,False,True,False,
16-21250,False,False,False,False,True,False,
16-21257,False,False,True,False,False,False,
16-21260,False,False,True,False,False,False,
16-21263,False,False,True,False,False,False,
16-21272,False,False,False,False,False,False,
16-21274,False,False,False,False,False,False,
16-21276,False,False,False,False,False,False,Etat
16-21297,False,False,True,False,False,False,
16-21299,False,False,True,False,False,False,
16-21301,False,False,True,False,False,False,
16-21305,True,False,False,False,False,False,
16-21306,False,False,True,False,False,False,
16-21313,True,False,False,False,False,False,
16-21315,False,False,True,False,False,False,
16-21329,False,False,False,False,False,False,
16-21334,False,False,True,False,False,False,
16-21337,False,False,False,False,True,False,
16-21338,False,False,False,False,False,False,
16-21339,False,False,True,False,False,False,
16-21341,True,False,False,False,False,False,
16-21343,False,False,False,False,False,False,Collectivité territoriale
16-21350,False,False,True,False,False,False,
16-21353,False,False,True,False,False,False,
16-21354,False,False,False,False,True,False,
