BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
16-39049,,Budget de l'établissement : Paiement direct ;Paiement à 30 jours par mandat administratif conformément à l'article 98 du CMP.,,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
16-39053,,"Imputation sur le budget du Grand Verdun et de la Ville de Verdun, selon l'entité concernée, section fonctionnement",,False,False,,True,False,False,CF_NIV_SUIV,['FR'],
16-39055,Garantie à première demande couvrant 100% du montant de l'avance,Articles 86 à 111 du Code des marchés publics français. Caractéristiques des prix : Prix global forfaitaire. Modalités de variation des prix : Ferme. Une avance de 5% sera accordée dans les conditions prévues au contrat. Modalité de règlement des comptes : selon les modalités du C.C.A.G.-F.C.S. Le délai global de paiement est de 30 jours. Modalités de financements : Financement sur budget régional - paiement par virement administratif - versements d'acomptes,Aucune forme de groupement imposée à l'attributaire. Il est interdit aux candidats de présenter plusieurs offres en agissant à la fois : - En qualité de candidats individuels et de membres d'un ou plusieurs groupements ; - En qualité de membres de plusieurs groupements,False,False,,True,False,False,CF_NIV_SUIV,['FR'],
16-39056,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
16-39057,Voir le dossier de consultation,Voir le dossier de consultation,Voir le dossier de consultation,False,False,,True,False,False,CF_NIV_SUIV,['FR'],
16-39060,Aucune clause de garantie financière ne sera appliquée,"Les prestations seront financées selon les modalités suivantes :Imputation budgétaire de la collectivitéModalités de paiement : articles 86 à 111 du Code des marchés publicsConditions du C.C.A.G.-Fournitures courantes et services.Cession ou nantissement du marché et recours au crédit OSEO possible.Les sommes dues au(x) titulaire(s) et au(x) sous-traitant(s) de premier rang éventuel(s) du marché, seront payées dans un délai global de 30 jours à compter de la date de réception des factures ou des demandes de paiement équivalentes","En cas de groupement, la forme souhaitée par le pouvoir adjudicateur, pour l'exécution du marché, est soit un groupement conjoint avec mandataire solidaire, soit un groupement solidaire",False,False,,True,False,False,CF_NIV_SUIV,['FR'],
16-39061,Aucune garantie n'est prévue,"Une avance de 5 % des marchés peut être accordée dans les conditions réglementaires et légales en vigueur sous réserve de la constitution d'une garantie à première demande couvrant le montant de l'avance.Prix unitaires et prix unitaires forfaitisés révisables mensuellementLe paiement est effectué par virement selon les règles de la comptabilité publique. Délai global de paiement de 30 jours.Le marché est financé sur fonds propres du budget principal de la collectivité - Subvention possible région Pays de la Loire. Par ailleurs, ce marché est susceptible de bénéficier de fonds européen FEDER",Groupement solidaire,False,False,,False,False,False,CF_NIV_SUIV,['FR'],
16-39062,,Paiement sous 30 jours par mandat administratif.Autofinancement sur le budget municipal,"Aucune forme de groupement n'est imposée par le pouvoir adjudicateur.En cas d'attribution du marché à un groupement conjoint, le mandataire du groupement sera solidaire, pour l'exécution du marché, de chacun des membres du groupement pour ses obligations contractuelles en application de l'article 51-ii du Code des marchés publics",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
16-39063,,- Financement sur budget départemental.- Paiement à 30 jours par mandatement administratif,Groupement solidaire ou conjoint avec mandataire solidaire,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
16-39065,,,,False,False,,False,True,False,CF_NIV_SUIV,['FR'],
