BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
09-127640,False,False,False,False,False,False,True,
12-192172,False,False,False,False,False,False,True,
15-101329,False,False,False,False,True,False,False,
15-103954,False,False,False,False,False,False,True,
15-114685,False,False,False,False,True,False,False,
15-122531,False,False,False,False,True,False,False,
15-181901,False,False,False,False,True,False,False,
15-183192,False,False,False,False,False,False,False,
15-185591,False,False,False,False,False,True,False,
15-192412,False,False,False,False,True,False,False,
15-22670,False,True,False,False,False,False,False,
15-76275,False,False,False,False,False,True,False,
16-10805,False,False,False,False,False,False,True,
16-10970,False,False,True,False,False,False,False,
16-11016,False,False,True,False,False,False,False,
16-12096,False,False,False,False,False,False,True,
16-12098,False,False,False,False,False,False,True,
16-12101,False,False,False,False,False,False,True,
16-12102,False,False,False,False,False,False,True,
16-12105,False,False,False,False,False,False,True,
16-12109,False,False,False,False,False,False,True,
16-12112,False,False,False,False,False,False,True,
16-13111,False,False,False,False,True,False,False,
16-13539,False,False,False,False,True,False,False,
16-15079,False,False,False,False,False,False,True,
16-15479,False,False,False,False,False,False,True,
16-16467,False,False,False,False,True,False,False,
16-17966,False,False,False,False,False,False,False,
16-18272,False,False,False,False,False,False,True,
16-19346,False,True,False,False,False,False,False,
16-22340,False,True,False,False,False,False,False,
16-22559,False,False,False,False,False,False,True,
16-22599,False,False,True,False,False,False,False,
16-23367,False,False,False,False,False,False,True,
16-23649,False,False,False,False,False,False,False,
16-25281,False,False,False,False,False,False,True,
16-25387,False,False,False,False,False,False,True,
16-25901,False,False,False,False,False,False,True,
16-26011,False,False,False,False,False,False,True,
16-28874,False,False,False,False,True,False,False,
16-28957,False,False,False,False,False,False,False,
16-29000,False,False,False,False,True,False,False,
16-29018,False,False,False,False,False,False,False,
16-29267,False,False,False,False,True,False,False,
16-29484,False,False,False,False,False,False,True,
16-29851,False,False,False,False,False,False,False,
16-30281,False,False,False,False,True,False,False,
16-30700,False,False,False,False,False,False,True,
16-30718,False,False,False,False,True,False,False,
16-30815,False,False,True,False,False,False,False,
16-31068,False,False,False,False,True,False,False,
16-31215,False,False,True,False,False,False,False,
16-31578,False,False,False,False,True,False,False,
16-31585,False,False,False,False,False,False,True,
16-32309,False,False,False,False,True,False,False,
16-32425,False,False,False,False,False,False,True,
