BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
16-48461,False,False,False,False,False,True,False,,False,False,,,,False,"La société PRESCOM est conceptrice des systèmes de gestion des voies radio M3S; M5S et des postes opérateurs associés à ces systèmes. PRESCOM possédant l'ensemble des brevets et droits industriels, elle est donc la seule à pouvoir fournir:- des extensions matérielles, des pièces détachées ainsi que des mises à jour ou extensions logicielles- effectuer le support et la maintenance des systèmes cités précédemment- dispenser des formations techniques"
16-48531,False,False,False,False,False,True,False,,False,False,,,,False,Marché passé en application de l'article 35-II-8 du Code des Marchés Publics - Marché négocié sans publicité ni mise en concurrence
16-48641,False,False,False,False,False,True,False,,False,False,,,,False,"AMABIS est détentrice exclusive des droits sur les logiciels AGM 4.0, AmaNorm, AmaBatch et AmaServer ;A ce titre AMABIS a lexclusivité de la commercialisation des licences, de la maintenance associée de ces logiciels, du support et de la fourniture des référentiels du SNA au format binarisé, directement exploitable par ces logiciels."
16-48832,False,False,False,False,False,False,False,"<?xml version=""1.0"" encoding=""UTF-16""?>
<MARCHE_COMPLEMENTAIRE xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",False,False,,,,False,marché négocié passé en application de l'article 35.II.4 du code des marchés publics
16-48943,False,False,False,False,False,False,False,,False,False,,,,True,"Il s'agit ici d'une procédure de remise en concurrence des attributaires de l'accord-cadre, dans le cadre d'une passation d'un marché subséquent."
16-49150,True,False,False,False,False,False,False,,False,False,,,,False,une première consultation a été lancée le 16 octobre 2015 avec une date limite de remise des offres fixée au 26 novembre 2015. A l'issue de cette première consultation aucune offre n'a été remise. LA consultation a été déclarée infructueuse par la CAO en date du 01 décembre 2015 laquelle a choisi de relancer une procédure en application de l'article 35 II du code des marchés publics en vigueur (procédure négociée sans publicité ni mise en concurrence.)
16-49219,False,False,False,False,False,False,False,,False,False,,,,True,"Marchés de services relevant de l'article 30 du Code des marchés publics : services récréatifs, culturels et sportifs."
16-49336,False,False,False,False,False,True,False,,False,False,,,,False,"La Plate-Forme de Recherche en IMAgerie CEllulaire de Haute-Normandie (PRIMACEN) de lIRIB possède un microscope confocal inversé STED de marque LEICA, identifié sous la référence TCS SP5 STED N°5100000775.Compte-tenu  de la haute technologie de ce type déquipement, seule la société Leica est capable d'intervenir et dassurer sa maintenance préventive et curative."
16-50090,False,False,False,True,False,False,False,,False,False,,,,False,"Le présent marché est passé sur le fondement de l'article 35-II 8° du Code des MarchésPublics. Pour des raisons tenant à la protection des droits d'exclusivité, il ne peut être confiéqu'à un opérateur économique déterminé, en l'occurrence la société PAMPELONNEORGANISATION.En effet, une attestation d'exclusivité a été fournie par ATP, précisant que seule la sociétéPAMPELONNE ORGANISATION est habilitée pour assurer la prestation. PampelonneOrganisation est un Tournoi membre de plein droit de l'ATP Tour Inc., par rapport à l'OPEN13"
16-50197,False,False,False,False,False,False,False,,False,False,,,,True,IL SAGIT DUN MARCHE A PROCEDURE ADPATEE CONCLU DANS LE CADRE DES DISPOSITIONS DES ARTICLES 28 ET 85 I DU CODE DES MARCHES PUBLICS FRANÇAIS (2006).
16-51058,False,False,False,False,False,False,False,,False,False,,,,True,Marché subséquent maritime relatif à un Accord-cadre.
16-51089,False,False,False,False,False,False,False,,False,False,,,,True,marchés de services de l'article 30 du Code des marchés publics : services de qualification et dinsertion professionnelles.
16-51808,False,False,False,False,False,True,False,,False,False,,,,False,"En application de larticle 35-II 8° de lancien code des marchés publics et compte tenu du courrier du titulaire indiquant quil détient lexclusivité des droits relatifs à lorganisation et à l'exploitation du salon Rencontres Universités Entreprises (RUE) à Paris, le représentant du pouvoir adjudicateur a décidé dengager une procédure de marché négocié sans mise en concurrence et sans publicité."
16-52600,False,False,False,False,False,False,False,,False,False,,,,True,Marché passé sous la procédure librement définie de l'article 9 du décret no 2005-1742 du 30/12/2005.
16-52928,False,False,False,False,False,False,False,,False,False,,,,True,Marché passé en procédure adapté compte tenu de son montant inférieur aux seuils européens en vigueur
16-53035,False,False,False,False,False,True,False,,False,False,,,,False,La société GFI Progiciels fournit une attestation d'exclusivité selon laquelle elle est seule détentrice des droits patrimoniaux du progiciel ASTRE-GF utilisé par le CASVP pour son système budgétaire et comptable.
16-53580,False,False,False,False,False,True,False,,False,False,,,,False,Certificat d'exclusivité en date du 1er janvier 2016 - Application de l'article 32 de la directive no2014/24/UE du 26 février 2014
16-53753,False,False,False,True,False,False,False,,False,False,,,,False,"Les prestations manquantes ont un caractère indissociable intellectuellement, techniquement et économiquement des prestations de base du marché en cours et sont strictement nécessaires au parfait achèvement de l'étude du fait de leur nature réglementaire et obligatoire. Les délais de lancement de la mise en concurrence pour le renouvellement des concessions de la Croisette pour l'application du décret plage de 2006, ne permettent pas de relancer une nouvelle consultation globale."
16-54001,False,False,False,True,False,False,False,,False,False,,,,False,"La remise en état de la GTC nécessite une grande précision et une connaissance approfondie des installations qui la composent. Ainsi seuls les techniciens qui ont procédé à leur mise en oeuvre et qui ont la maîtrise de la GTC du grand bleu sont à même d'identifier les pannes, de réinitialiser le système, de réinstaller les nouveaux appareillages sur les installations afin que le centre soit rouvert dans des délais raisonnables."
16-54503,False,False,False,True,False,False,False,,False,False,,,,False,"La Société DISTRIBIO qui a fourni une attestation d'exclusivité, indique avoir lexclusivité de la vente et de la maintenance des synthétiseurs de la  marque K&amp;A (dimensions cm : 25 x 40 x 40) en Europe. en tant que distributeur."
