BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
16-86384,True,False,False,False,False,False,
16-86386,True,False,False,False,False,False,
16-86394,False,True,False,False,False,False,
16-86395,False,False,False,False,True,False,
16-86407,False,False,False,False,False,False,Centre Hospitalier
16-86416,False,False,False,False,False,False,SIVOM
16-86419,False,False,False,False,True,False,
16-86422,False,False,False,False,False,False,organisme de droit public
16-86431,False,False,False,False,True,False,
16-86433,False,False,False,False,False,False,Société d'économie mixte
16-86434,False,False,True,False,False,False,
16-86435,False,False,False,False,True,False,
16-86436,False,False,True,False,False,False,
16-86437,False,False,False,False,False,False,commune
16-86438,False,False,True,False,False,False,
16-86448,False,False,False,False,True,False,
16-86453,False,False,False,False,False,False,Société nationale de programmation
16-86455,False,False,False,False,True,False,
16-86464,False,False,False,False,True,False,
16-86470,False,False,True,False,False,False,
16-86472,False,False,True,False,False,False,
16-86478,False,False,False,False,True,False,
16-86479,False,False,False,False,True,False,
16-86480,False,False,False,False,False,False,Etablissement de santé
16-86485,False,False,True,False,False,False,
16-86486,False,False,True,False,False,False,
16-86492,False,False,True,False,False,False,
16-86493,False,False,False,True,False,False,
16-86495,False,False,False,False,False,False,SEM
16-86496,False,False,True,False,False,False,
16-86497,False,False,True,False,False,False,
16-86501,False,False,False,False,True,False,
16-86512,False,False,True,False,False,False,
16-86513,False,False,False,False,False,False,Autre
16-86519,False,False,True,False,False,False,
16-86521,True,False,False,False,False,False,
16-86527,False,False,False,False,False,False,Structure de coopération intercommunal - syndicat mixte
16-86528,False,False,False,False,False,False,Etablissement pubic de coopération intercommunale
16-86530,False,False,False,False,True,False,
16-86531,True,False,False,False,False,False,
16-86535,False,False,False,False,True,False,
16-86537,False,False,True,False,False,False,
16-86539,True,False,False,False,False,False,
16-86542,False,False,True,False,False,False,
16-86547,False,False,False,False,True,False,
16-86551,False,False,False,False,False,False,Fondation Association de type Loi 1901 dans le domaine de la santé
16-86555,False,False,True,False,False,False,
16-86567,True,False,False,False,False,False,
16-86569,False,False,False,False,True,False,
16-86570,False,False,False,False,False,False,collectivité territoriale
16-86571,False,False,True,False,False,False,
16-86576,False,False,False,False,False,False,Protection Sociale
16-86577,False,False,True,False,False,False,
16-86586,True,False,False,False,False,False,
16-86589,False,False,False,False,False,False,Etablissement public
16-86603,False,False,True,False,False,False,
16-86608,False,False,False,False,False,False,Établissement public de coopération intercommunale
16-86613,False,False,False,False,False,False,EPLE
16-86624,False,False,True,False,False,False,
16-86629,True,False,False,False,False,False,
16-86638,True,False,False,False,False,False,
16-86640,False,False,False,False,False,False,Etablissement Public de Coopération intercommunale
16-86643,False,False,False,False,False,False,Organisme privé gérant des fonds publics
16-86649,False,False,False,True,False,False,
16-86653,False,False,True,False,False,False,
16-86654,True,False,False,False,False,False,
16-86663,True,False,False,False,False,False,
16-86669,True,False,False,False,False,False,
16-86676,False,False,False,False,False,False,Etablissement Public de Coopération Intercommunale
16-86681,False,False,False,False,True,False,
16-86682,False,False,False,False,False,False,Catégorie : Etablissement Public Territorial
16-86692,False,False,True,False,False,False,
16-86698,False,False,False,False,True,False,
16-86701,False,False,True,False,False,False,
16-86703,False,False,True,False,False,False,
16-86705,False,False,False,False,True,False,
16-86706,False,True,False,False,False,False,
16-86711,False,False,False,False,False,False,Transports de voyageurs
16-86712,False,False,True,False,False,False,
16-86713,False,False,False,True,False,False,
16-86716,False,False,False,False,True,False,
16-86717,False,False,True,False,False,False,
16-86720,False,False,True,False,False,False,
16-86723,True,False,False,False,False,False,
16-86727,False,False,False,False,False,False,Santé
16-86728,False,False,False,False,True,False,
16-86731,False,False,True,False,False,False,
16-86734,False,False,True,False,False,False,
16-86735,False,False,False,False,False,False,Etablissement public de santé
16-86747,False,False,False,False,True,False,
16-86752,False,False,True,False,False,False,
16-86755,True,False,False,False,False,False,
16-86757,False,False,True,False,False,False,
16-86759,False,False,True,False,False,False,
16-86760,False,False,False,False,True,False,
16-86765,False,False,True,False,False,False,
16-86766,False,False,False,False,True,False,
16-86772,True,False,False,False,False,False,
16-86777,False,False,True,False,False,False,
16-86779,False,False,True,False,False,False,
16-86782,False,False,False,False,True,False,
16-86796,False,False,False,False,False,False,Organisme de droit privé de la MSA
16-86801,False,False,True,False,False,False,
16-86805,False,False,False,False,True,False,
16-86807,False,False,False,False,True,False,
16-86809,False,False,True,False,False,False,
16-86814,False,False,False,False,True,False,
16-86815,False,False,True,False,False,False,
16-86817,False,False,False,False,False,False,établissement public
16-86820,False,False,True,False,False,False,
16-86822,False,False,True,False,False,False,
16-86824,False,False,False,False,True,False,
16-86825,False,False,False,False,False,False,"Etablissement public à caractère scientifique, culturel et professionnel"
16-86826,False,False,True,False,False,False,
16-86828,False,False,False,False,False,False,Etablissement Public Industriel et Commercial
16-86830,False,True,False,False,False,False,
16-86837,False,False,True,False,False,False,
16-86840,False,False,True,False,False,False,
16-86845,False,False,False,False,True,False,
16-86846,False,False,True,False,False,False,
16-86853,False,False,True,False,False,False,
16-86861,False,False,False,False,False,False,"Etablissement public à caractère scientifique, culturel et professionnel"
16-86871,False,False,True,False,False,False,
16-86876,False,False,False,False,True,False,
16-86879,False,False,False,False,False,False,autre
16-86880,False,False,True,False,False,False,
16-86881,False,False,False,False,True,False,
16-86885,False,False,False,False,True,False,
16-86887,False,False,False,False,True,False,
16-86888,False,False,True,False,False,False,
16-86891,True,False,False,False,False,False,
16-86900,False,False,False,False,True,False,
16-86902,False,False,False,False,True,False,
16-86904,False,False,False,False,False,False,Formation professionnelle des agents territoriaux
16-86905,False,False,True,False,False,False,
16-86914,False,False,False,False,True,False,
