BOAMP_AVIS_NUM,D_03_01_Typepouvoiradjudicateur_Minautoritenationale,D_03_02_Typepouvoiradjudicateur_Agencenational,D_03_03_Typepouvoiradjudicateur_Autotriteregional,D_03_04_Typepouvoiradjudicateur_Agenceregional,D_03_05_Typepouvoiradjudicateur_Orgdroitpublic,D_03_06_Typepouvoiradjudicateur_Institutioneuropeenne,D_03_07_Typepouvoiradjudicateur_Autre
16-100001,False,False,False,False,False,False,Santé
16-100006,False,False,True,False,False,False,
16-100012,False,False,True,False,False,False,
16-100013,False,False,True,False,False,False,
16-100016,False,False,False,False,False,False,groupement d'achats
16-100022,True,False,False,False,False,False,
16-100031,False,False,False,False,False,False,Etablissement Public de Coopération intercommunale
16-100032,False,False,False,False,False,False,Etablissement Public de Coopération Intercommunal (EPCI)
16-100033,False,False,False,False,True,False,
16-100037,False,False,True,False,False,False,
16-100038,False,False,False,False,True,False,
16-100039,False,False,False,False,True,False,
16-100042,False,False,True,False,False,False,
16-100044,False,False,False,False,False,False,Autre
16-100047,False,False,False,False,False,False,Autre
16-100048,False,False,False,False,False,False,Etablissement de santé
16-100049,False,False,False,False,False,False,Etablissement de santé
16-100053,True,False,False,False,False,False,
16-100058,False,False,False,False,False,False,Etablissement public de santé
16-100059,False,False,True,False,False,False,
16-100061,True,False,False,False,False,False,
16-100062,False,False,False,False,False,False,collectivité territoriale
16-100065,False,False,False,False,True,False,
16-100069,False,False,False,False,True,False,
16-100073,False,False,False,False,True,False,
16-100077,False,False,True,False,False,False,
16-100078,False,False,True,False,False,False,
16-100087,True,False,False,False,False,False,
16-100089,True,False,False,False,False,False,
16-100091,False,False,True,False,False,False,
16-100097,False,False,False,False,False,False,Collectivité territoriale
16-100099,False,False,True,False,False,False,
16-100104,False,False,False,False,True,False,
16-100108,True,False,False,False,False,False,
16-100115,False,False,False,False,True,False,
16-100119,False,False,False,False,False,False,Etablissement public
16-100122,False,False,False,False,True,False,
16-100123,False,False,True,False,False,False,
16-100127,False,False,False,False,True,False,
16-100132,False,False,False,False,False,False,Etablissement public de coopération intercommunale
16-100133,False,False,True,False,False,False,
16-100137,False,False,True,False,False,False,
16-100139,False,False,False,False,True,False,
16-100141,False,False,True,False,False,False,
16-100144,False,False,False,False,True,False,
16-100150,False,False,True,False,False,False,
16-100155,False,False,True,False,False,False,
16-100156,True,False,False,False,False,False,
16-100160,False,False,False,False,False,False,Groupement d'intérêt économique
16-100161,False,False,False,False,False,False,Commune
16-100163,False,False,False,False,True,False,
16-100167,False,False,True,False,False,False,
16-100172,False,False,False,False,True,False,
16-100173,True,False,False,False,False,False,
16-100174,False,False,False,False,True,False,
16-100179,False,False,False,False,True,False,
16-100181,False,False,True,False,False,False,
16-100190,False,False,True,False,False,False,
16-100200,False,False,False,False,True,False,
16-100201,False,False,False,False,False,False,EPCC
16-100206,False,False,False,False,True,False,
16-100209,True,False,False,False,False,False,
16-100213,False,False,False,False,True,False,
16-100217,False,False,False,False,True,False,
16-100219,False,False,True,False,False,False,
16-100220,True,False,False,False,False,False,
16-100221,False,False,False,False,True,False,
16-100229,False,False,False,False,False,False,Société d'économie mixte - personne morale de droit privé
16-100230,True,False,False,False,False,False,
16-100231,False,False,False,False,True,False,
16-100232,True,False,False,False,False,False,
16-100233,False,False,True,False,False,False,
16-100238,False,False,True,False,False,False,
16-100240,False,False,False,False,True,False,
16-100242,False,False,False,False,False,False,Groupement d'achat hospitalier
16-100243,False,False,True,False,False,False,
16-100246,False,False,False,False,True,False,
16-100250,False,False,False,False,False,False,Santé
16-100251,False,False,True,False,False,False,
16-100252,False,True,False,False,False,False,
16-100264,False,False,True,False,False,False,
