BOAMP_AVIS_NUM,D_12_01_Conditionrelativemarche_Cautionnement,D_12_02_Conditionrelativemarche_Financement,D_12_03_Conditionrelativemarche_Formejuridique,D_12_04_Conditionrelativemarche_Participationelectroniqueoui,D_12_05_Conditionrelativemarche_Participationelectroniquenon,D_12_06_Conditionrelativemarche_Autresconditionspartoui,D_12_07_Conditionrelativemarche_Autresconditionspartnon,D_12_08_Conditionrelativemarche_Unitemonetaireeur,D_12_09_Conditionrelativemarche_Francaisseul,D_12_10_Conditionrelativemarche_Langues,D_12_10_01_Conditionrelativemarche_Langues_Langue,D_12_10_02_Conditionrelativemarche_Langues_Autres
14-138048,Aucune retenue de garantie ne sera effectuée,"Les prestations seront financées selon les modalités suivantes : Autofinancement Les sommes dues au(x) titulaire(s) et au(x) sous-traitant(s) de premier rang éventuel(s) du marché seront payées dans un délai global de 30 jours à compter de la date de réception des factures ou des demandes de paiement équivalentes.L'attention des candidats est attirée sur le fait que s'ils veulent renoncer aux bénéfices de l'avance prévue au CCP, ils doivent le préciser à l'acte d'engagement.",Le pouvoir adjudicateur ne souhaite imposer aucune forme de groupement à l'attributaire du marché.,False,False,,False,True,False,CF_NIV_SUIV,,
15-129957,"Caution bancaire, garantie à 1ère demande ou retenue de garantie de 5%","Autofinancement - Avance accordée au-dessus d'un marché de 50.000 euro H.T. sous réserve que l'entrepreneur constitue une garantie à première demande ou une caution personnelle et solidaire, acomptes mensuels.",Candidats individuels ou groupement d'opérateurs économiques pour chaque lot,False,False,,False,True,True,CF_NIV_SUIV,,
15-141382,,cf.DCE,cf. DCE,False,False,,False,True,True,CF_NIV_SUIV,,
15-183806,,,,False,False,,False,True,False,CF_NIV_SUIV,,
16-100002,- retenue de garantie de 5% ou garantie à première demande - garantie à première demande en échange de l'avance,- paiement par virement administratif en application de l'article 87-II de l'ordonnance du 23 juillet 2015. - Financement : fonds propres,"La réponse pourra être présentée, soit par un assureur directement ou par le biais d'un intermédiaire.Elle pourra aussi être proposée par un groupement conjoint d'assureurs.En cas de coassurance, elle devra être formée dès la remise des offres (une offre ne couvrant pas 100% du risque sera considérée irrégulière). L'offre devra présenter le mandataire (apériteur) et les engagements respectifs pris par l'apériteur et les autres assureurs membres du groupement (participations dans l'assurance du risque).Chaque co-assureur devra fournir les pièces prévues à l'article 6 du règlement de consultation.Un même opérateur économique ne pourra présenter plusieurs offres pour le même marché, en tant que candidat seul et en qualité de membre d'un groupement ou de membre de plusieurs groupements distincts; dans ce cas toutes les offres de cet opérateur seront déclarées irrégulières.",False,False,,False,False,False,CF_NIV_SUIV,,
16-100003,,Le délai global de paiement est fixé à 30 jours à compter de la réception de la facture,"Les candidats peuvent répondre seul ou sous la forme d'un groupement.Dans l'hypothèse d'un groupement, il sera soit solidaire, soit conjoint avec un mandataire solidaire.Pour les entreprises présentant leur offre sous forme de groupement :- Un des prestataires sera désigné comme mandataire du groupement seul habilité à signer la convention de mandat.- En cas de groupement solidaire, un document unique indiquera le montant total du marché et l'ensemble des prestations que les membres du groupement s'engagent solidairement à réaliser.- Les candidatures et les offres sont présentées soit par l'ensemble des entreprises groupées, soit par le mandataire s'il justifie des habilitations nécessaires pour représenter ces entreprises au stade de la passation du marché.Il est interdit aux candidats de présenter plusieurs offres en agissant à la fois en qualité de candidats individuels et de membres d'un ou plusieurs groupements.",False,False,,False,True,False,CF_NIV_SUIV,['FR'],
16-100006,,,,True,False,,False,False,False,CF_NIV_SUIV,['FR'],
16-100009,Une retenue de garantie de 5% (T.T.C.) sera exercée sur chaque acompte conformément aux dispositions de l'article 122 du décret du 25 mars 2016. Elle peut être remplacée au gré du titulaire par une garantie à première demande.,"Financement : Ressources propres de la collectivité maître d'ouvrage.Paiement : le délai de paiement est de 30 jours à compter de la date de réception de la facture.Une avance est accordée, égale à 15 % du montant initial du marché TTC. Le paiement de l'avance est subordonné à la fourniture d'une garantie à première demande couvrant la totalité du remboursement de cette avance.",Groupement conjoint avec mandataire solidaire ou groupement solidaire.,False,False,,True,True,False,CF_NIV_SUIV,['FR'],
16-100010,,,,False,False,,False,True,True,CF_NIV_SUIV,,
16-100011,"Garantie à première demande ou caution personnelle et solidaire couvrant 100,000% du montant de l'avance","Caractéristiques des prix : Prix global forfaitaire. Modalités de variation des prix : Ferme. Une avance de 5,000% sera accordée dans les conditions prévues au contrat. Modalité de règlement des comptes : selon les modalités du C.C.A.G.-F.C.S. Le délai global de paiement est de 30 jours. Modalités de financements : Autofinancement par le budget communal",Aucune forme de groupement imposée à l'attributaire. Il est interdit aux candidats de présenter plusieurs offres en agissant à la fois : - En qualité de candidats individuels et de membres d'un ou plusieurs groupements ; - En qualité de membres de plusieurs groupements,False,False,"Les marchés débuteront à compter de la notification du contrat. Les candidats pourront proposer un autre délai, sans toutefois dépasser le délai maximum précité. Les prestations comportent les conditions d'exécution suivantes : Par délibération du Conseil municipal du 2 juin 2005, la VILLE DE PESSAC s'est engagée dans un Agenda 21 local pour mettre en oeuvre le développement durable sur son territoire. Par cet acte, la Ville a affirmé sa volonté de promouvoir des modes de production et de consommation durables et s'est engagée dans une démarche d'achats responsables. Pour les lots concernant du matériel thermique, les candidats renseigneront les préconisations constructeur en matière de carburant ainsi que les possibilités d'utilisation de lubrifiants et huiles hydrauliques biodégradables",False,True,False,CF_NIV_SUIV,['FR'],
