BOAMP_AVIS_NUM,D_18_01_Annexed1_Infructueuxouverte,D_18_02_Annexed1_Infructueuxrestreinte,D_18_03_Annexed1_Recherche,D_18_04_Annexed1_Raisonstechniques,D_18_05_Annexed1_Raisonsartistiques,D_18_06_Annexed1_Proprieteintellectuelle,D_18_07_Annexed1_Urgenceimperieuse,D_18_08_Annexed1_Marchecomplementaire,D_18_09_Annexed1_Prestationsidentiques,D_18_10_Annexed1_Laureatsconcours,D_18_11_Annexed1_Matierespremieres,D_18_12_Annexed1_Cessationactivite,D_18_13_Annexed1_Liquidateurs,D_18_14_Annexed1_Horsscope,D_18_15_Annexed1_Explication
16-109870,False,False,False,False,False,False,False,,False,False,,,,True,Il y a bien eu une publication préalable au JOUE (avis 2016/s057-095345 du 22.3.2016). Toutefois cet avis n'était pas obligatoire dans la mesure où la procédure était une procédure adaptée d'un montant inférieur au seuil européen.
16-110911,True,False,False,False,False,False,False,,False,False,,,,False,"Cette consultation a été lancée sous la forme d'un marché négocié selon les dispositions des articles 34, 35-I-1 et 66 du code des marchés publics (2009) avec les seuls candidats ayant présenté une offre respectant les exigences relatives aux délais et modalités formelles de présentation des offres, lors de la procédure d'appel d'offres(référence Joue : 2016/S009-011719, référence Boamp Avis No 16-4079)"
16-111315,False,False,False,False,False,True,False,,False,False,,,,False,Spécialités pharmaceutiques couvertes par des brevets.
16-112208,False,False,False,False,False,False,False,,False,False,,,,True,Le marché à pour objet des services figurant à l'annexe II B de la directive
16-112601,False,False,False,False,False,False,False,,False,False,,,,True,"Marché dinsertion sociale et professionnelle - chantier dinsertion- secteurs Jouvenet et Hauts de RouenLe marché a pour objet linsertion sociale et professionnelle dhabitants de Rouen durablement exclus du marché du travail ou qui rencontrent des difficultés daccès ou de maintien dans lemploi. Les prestations à réaliser porteront sur des travaux de nettoiement de la voirie et dentretien des espaces verts. Le présent marché est passé dans le cadre dune procédure négociée prévue à larticle 35.II.8 du Code des Marchés Publics, sans publicité préalable ni mise en concurrence en raison de lobjet du marché. Il sagit en effet dun chantier dinsertion, dans le cadre duquel, selon linterprétation du Ministère de lEconomie,  le prestataire nest pas considéré comme un opérateur économique soumis à lobligation de mise en concurrence. "
16-112655,False,False,False,False,False,False,False,,False,False,,,,True,Procédure lancée sous l'ancien code des marchés publics.
16-113064,False,False,False,False,False,False,False,,False,False,,,,True,"La valeur totale estimée de ce marché de travaux était inférieure au seuil fixé par la directive 2014/24/UE (5 186 000 euro HT). Ce marché ne relève, par conséquent, pas du champ d'application de cette directive, qui n'impose pas la publication d'un avis de marché au JOUE, concernant les marchés de travaux (mais que pour les marchés dont la valeur totale estimée est égale ou supérieure au seuil fixée par la Directive). Le marché a fait l'objet de la publication d'un avis de marché au niveau national, sur le support proposé par le ouest-France 22."
16-113164,False,False,False,False,False,True,False,,False,False,,,,False,"Le service commun de la documentation a acquis dans le cadre d'un marché public (de 2009 et d'une durée de 7 ans) un service intégré de gestion de bibliothèque (SIGB), dont le titulaire était la Société EXLIBRIS. La maintenance du SIGB doit aujourd'hui être assurée puisqu'il est nécessaire, pour son bon fonctionnement, d'assurer la maintenance préventive, corrective, évolutive et adaptative des licences  PRIMO, Tests ALEPH et ALEPH.La SOciété EX LIBRIS a fourni 2 attestations d'exclusivité indiquant qu'elle est le développeur et le propriétaire mondial du système PRIMO et copyright ALEPH, et qu'elle est la seule à fournir la maintenance des systèmes PRIMO et ALEPH. Le groupe EXLIBRIS a indiqué également être propriétaire unique des produits Alpeh et Primo et qu'aucune autre Société ne peut effectuer la vente ou la maintenance de ces produits."
16-113441,False,False,False,False,False,False,False,,False,False,,,,True,""" Le marché nest pas soumis à publication préalable au JOUE en application des articles 23 et 35§4 de la directive. Larticle 30 du code des marchés publics français a été appliqué. Le marché a fait lobjet dun avis dappel public à la concurrence au niveau national au BOAMP et du www.paris.fr """
16-113633,False,False,False,True,False,False,False,,False,False,,,,False,"Le présent marché est passé en référence à larticle 30-I.3b du décret no2016-360 du 25 mars 2016 relatif aux marchés publics qui prescrit que les acheteurs peuvent passer un marché négocié sans publicité ni mise en concurrence préalable lorsque les travaux, fournitures ou services ne peuvent être fournis que par un opérateur économique déterminé pour des raisons techniques.La mise en uvre dun réseau de radiocommunication à la norme TETRA sur le territoire de la Ville de Poitiers et de Grand Poitiers ayant fait lobjet dune procédure formalisée à lissue de laquelle les prestations ont été confiées, en juin 2011, à la société SYSOCO, il convenait de recourir, pour des raisons techniques, au marché négocié sans publicité ni mise en concurrence préalable décrit par le décret no2016-360 du 25 mars 2016 et notamment à larticle 30-I.3b précité pour les prestations dextension de fourniture, installation et mise en service déquipement dinfrastructure pour le remplacement ou lextension de linfrastructure radio existante et les prestations dextension de réseau Indoor TETRA dans les parkings de la ville de Poitiers."
16-113672,False,False,False,False,False,False,False,,False,False,,,,True,"Le marché a été lancé courant mars 2016 (donc marché régi selon l'ancien CMP). Le marché relevant de l'article 30 du CMP, un avis d'appel public à la concurrence (avis no16-29091) a été publié le 08/03/2016 au BOAMP. Conformément à l'article 85-IV du CMP, le pouvoir adjudicateur adresse l'avis d'attribution à l'Office des publications officielles de l'Union Européenne et au BOAMP."
16-113762,False,False,False,False,False,False,False,,True,False,,,,False,Marché de prestations similaires attribué en application de l'article 30-I-7° du décret no 2016-360 du 25 mars 2016 relatif aux marchés publics.
16-113859,False,False,False,False,False,False,False,,False,False,,,,True,Il y a bien eu une publication préalable au JOUE (avis N°2016/S062-106370) - toutefois cet avis n'était pas obligatoire dans la mesure où la procédure était une procédure adaptée d'un montant estimé inférieur au seuil européen.
16-114786,False,False,False,True,False,False,False,,False,False,,,,False,Les longueurs de barrage fournies par la société ENVIRONMENT SOLUTIONS ApS sont les seules techniquement raccordables - tenant compte des diamètres des tubes et des moyens de fixation - aux terminaux en dotation dans les unités opérationnelles de la Direction Générale de la Sécurité Civile et de la Gestion des Crises (DGSCGC).
16-71122,False,False,False,False,False,False,False,,False,False,,,,True,"Le contrat est soumis à l'article 30 de l'ancien code des marchés publics qui ne prévoit pas de publicité eu JOUE. Cependant, ce marché a quand même fait l'objet d'une telle publicité volontaire, mais le formulaire ex ante ne permet pas de le préciser."
16-75276,True,False,False,False,False,False,False,,False,False,,,,False,"En application de la directive 2014/24/UE, dans le cadre d'une précédente consultation, appel public à la concurrence : AAPC no 2015-20603-0028 envoyée en publication le 16 mars 2015 au Boamp, au Joue et à la presse locale dont la date limite de remise des offres était le 27 avril 2015. Les lots 3, 5, 6, 9, 10 et 11 n'ayant reçu aucune offre, il ont été déclarés infructueux lors de la commission d'appel d'offres du 23 juin 2015, avec autorisation d'une relance d'une consultation négociée en application des dispositions de l'article 35.II.3° du Code des marchés publics.Ainsi le lot 3 n'ayant pas reçu de proposition pour la fourniture de sur-étiquettes et étiquettes de côte, la Commission d'appel d'offres en date du 23 juin 2015 a déclaré ce lot infructueux. Conformément à l'article 35.II.3° du Code des Marchés Publics, une nouvelle consultation est lancée pour le lot précité, sous forme de marché négocié sans publicité ni concurrence.La Société REXEL FRANCE RÉSEAU COAXEL SAS a reçu une invitation à concourir par courrier recommandé, réceptionnée le 20 octobre 2015. Elle avait également la possibilité de retirer le DCE sous forme dématérialisée, par une mise en ligne en accès restreint et de remettre son offre sous cette même forme. La société a remis une offre papier avant la date limite de remise des offres qui était le 9 novembre 2015. "
16-82487,False,False,False,False,False,False,False,,True,False,,,,False,Le marché a pour objet des services qui relèvent de l'annexe 14 de la directive 2014/24/UE.Le marché a été passé conformément à l'article 30 du code des marchés publics (France) (publicité initiale envoyé le 23/03/2016 au BOAMP) qui n'impose pas de publication préalable d'un avis de marché au JOUE car il s'agit d'un marché de type procédure adaptée. L'avis de marché (publicité) a été publié au BOAMP (Annonce no 16-35389) et sur le profil acheteur de la commune. Par contre l'article 30 du CMP impose la publication d'un avis d'attribution au JOUE.
