BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
10-146848,COMMUNE DE DONZENAC,None,LAPORTE Yves,,,Mairie - Place de la Liberté,19270,Donzenac,,05-55-85-72-33,,05-55-85-69-03,mairie-donzenac@orange.fr,http://www.donzenac.correze.net,https://www.boamp.fr/demat/consultation/CONS-10-146848,,,,,False,False,,False,False
11-78066,Syndicat Mixte Pôle d'Act. Villaroche,None,Monsieur le Président,,,Aérodrome de Melun Villaroche,77590,MONTEREAU/ le JARD,,01-60-68-83-90,,01-60-68-88-93,contact@sympav.com,,,,,,,False,False,,False,False
14-114531,Département de Seine Maritime,None,Monsieur le Président de Seine-Maritime,,,Quai Jean Moulin,76101,ROUEN CEDEX 1,,,,02-35-03-55-42,,http://www.seinemaritime.net,http://www.mpe76.fr,,,,,False,False,,False,False
16-100000,COMMUNE DE VILLALIER,None,commune-de-villalier@orange.fr,,,Place Joë Bousquet,11600,Villalier,,04-68-77-13-92,,04-68-77-13-34,commune-de-villalier@orange.fr,,http://marchespublics.aude.fr,,,,,False,False,,False,False
16-100109,Ville de Lormont,None,Monsieur le Maire de Lormont,,,1 rue andré dupin bp 1,33305,lormont cedex,,05-57-77-63-42,,,,http://www.lormont.fr,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2016_ovRUkLMMKv&v=1&selected=0,,,,,False,False,,False,False
16-100148,AP-HM,None,,,FR824,,13005,Marseille,,,,,da-marches@ap-hm.fr,http://www.ap-hm.fr,,,,,,False,True,,False,True
16-100198,Ministère de la Justice - DAP,None,,"Bureau de la gestion déléguée PS6, Emma Bower",FR101,13 place Vendôme,75042,Paris Cedex 01,,(+33) 1-70-22-83-26,,,emma.bower@justice.gouv.fr,http://www.justice.gouv.fr,http://www.marches-publics.gouv.fr,,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,False,True,,False,True
16-100199,Montpellier Méditerranée Métropole,24340001700022,,Direction Adjointe de la Commande Publique,FR813,50 place zeus CS 39556,34961,Montpellier Cedex,,(+33) 4-67-13-64-84,,(+33) 4-67-13-62-95,marches-publics@montpellier3m.fr,http://www.montpellier3m.fr,https://marches.montpellier3m.fr,,https://marches.montpellier3m.fr,https://marches.montpellier3m.fr,,True,False,,False,True
16-100329,Commune de Sevran,None,M. Le Maire de sevran,,,28 avenue du Général Leclerc,93270,Sevran,,01-49-36-52-34,,01-49-36-52-18,grp_marches_publics@ville-sevran.fr,http://ville-sevran.fr,http://ville-sevran.marcoweb.fr,,,,,False,False,,False,False
16-100537,Caf des Yvelines,None,,,FR103,2 avenue des Prés,78184,ST QUENTIN YVELINES CEDEX,,,,(+33) 1-30-64-37-91,marches.publics@cafyvelines.cnafmail.fr,https://achatpublic.fr,https://achatpublic.fr,,,,,False,True,,False,True
16-100629,IDEFHI,None,Le Directeur Général,,,38 route de sahurs - cs 10004,76380,Canteleu,,,,,,,http://www.e-marchespublics.com,,,,,False,False,,False,False
