BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
10-146848,2016-08-28 22:00:00,2016-09-29 11:00:00,1475100000000,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,197,Maîtrise d'oeuvre,CF_NIV_SUIV,False,False,19,,marché de maîtrise d'oeuvre pour la restauration du clocher de l'eglise saint martin (classé monument historique)
10-146848,2016-08-28 22:00:00,2016-09-29 11:00:00,1475100000000,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,236,Monuments historiques,CF_NIV_SUIV,False,False,19,,marché de maîtrise d'oeuvre pour la restauration du clocher de l'eglise saint martin (classé monument historique)
11-78066,2016-08-01 22:00:00,2016-08-19 16:00:00,1471557600000,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,332,Sécurité incendie,CF_NIV_SUIV,False,False,77,,Prestation pompier d'aérodrome polyvalent
14-114531,2016-08-18 22:00:00,2016-09-12 14:30:00,1473631200000,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,322,Signalisation,CF_NIV_SUIV,False,False,76,,rd 489 - signalisation directionnelle complémentaire de la rocade nord du havre
16-100000,2016-08-09 22:00:00,2016-09-30 11:00:00,1475186400000,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,116,Espaces verts,CF_NIV_SUIV,False,False,11,,Maîtrise d'oeuvre pour la création d'un parc intergénérationnel - aire de jeux
16-100000,2016-08-09 22:00:00,2016-09-30 11:00:00,1475186400000,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,116,Espaces verts,CF_NIV_SUIV,False,False,31,,Maîtrise d'oeuvre pour la création d'un parc intergénérationnel - aire de jeux
16-100000,2016-08-09 22:00:00,2016-09-30 11:00:00,1475186400000,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,116,Espaces verts,CF_NIV_SUIV,False,False,34,,Maîtrise d'oeuvre pour la création d'un parc intergénérationnel - aire de jeux
16-100000,2016-08-09 22:00:00,2016-09-30 11:00:00,1475186400000,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,116,Espaces verts,CF_NIV_SUIV,False,False,81,,Maîtrise d'oeuvre pour la création d'un parc intergénérationnel - aire de jeux
16-100000,2016-08-09 22:00:00,2016-09-30 11:00:00,1475186400000,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,116,Espaces verts,CF_NIV_SUIV,False,False,66,,Maîtrise d'oeuvre pour la création d'un parc intergénérationnel - aire de jeux
16-100000,2016-08-09 22:00:00,2016-09-30 11:00:00,1475186400000,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,197,Maîtrise d'oeuvre,CF_NIV_SUIV,False,False,11,,Maîtrise d'oeuvre pour la création d'un parc intergénérationnel - aire de jeux
