BOAMP_AVIS_NUM,D_02_01_Typeorganisme_Institutioneuropeenne,D_02_02_Typeorganisme_Etat,D_02_03_Typeorganisme_Region,D_02_04_Typeorganisme_Departement,D_02_05_Typeorganisme_Commune,D_02_06_Typeorganisme_Epn,D_02_07_Typeorganisme_Ept,D_02_08_Typeorganisme_Autre
16-165169,False,True,False,False,False,False,False,
16-165173,False,False,False,False,False,False,False,
16-165176,False,False,False,False,False,False,True,
16-165177,False,False,False,False,False,False,True,
16-165178,False,False,False,False,False,False,True,
16-165180,False,False,False,False,True,False,False,
16-165181,False,False,False,False,False,False,True,
16-165182,False,False,False,False,False,True,False,
16-165184,False,False,False,False,False,False,False,
16-165185,False,False,False,False,False,False,True,
16-165186,False,False,False,False,True,False,False,
16-165187,False,False,False,False,True,False,False,
16-165188,False,False,False,False,False,False,True,
16-165190,False,False,False,False,False,False,False,
16-165192,False,False,False,False,False,False,False,
16-165194,False,False,False,False,True,False,False,
16-165197,False,False,False,False,True,False,False,
16-165198,False,False,False,False,True,False,False,
16-165199,False,False,False,False,False,False,True,
16-165201,False,False,False,False,False,True,False,
16-165203,False,False,False,False,False,True,False,
16-165206,False,False,False,False,False,False,True,
16-165207,False,False,False,False,False,False,False,
16-165211,False,False,False,False,False,True,False,
16-165217,False,False,False,False,True,False,False,
16-165218,False,True,False,False,False,False,False,
16-165219,False,False,False,False,False,False,True,
16-165220,False,False,False,False,True,False,False,
16-165221,False,False,False,True,False,False,False,
16-165222,False,False,False,False,True,False,False,
16-165225,False,False,False,False,False,False,False,
16-165227,False,False,False,False,True,False,False,
16-165228,False,False,False,False,True,False,False,
16-165231,False,False,False,False,False,False,True,
16-165232,False,False,False,False,False,False,True,
16-165233,False,False,False,False,False,True,False,
16-165234,False,False,False,False,False,False,True,
16-165235,False,False,False,False,False,True,False,
16-165236,False,False,False,False,True,False,False,
16-165240,False,False,False,False,False,False,True,
16-165242,False,False,False,False,False,True,False,
16-165246,False,False,False,False,False,True,False,
16-165252,False,False,False,False,True,False,False,
16-165255,False,False,False,False,False,True,False,
16-165257,False,False,False,False,True,False,False,
16-165259,False,False,False,False,True,False,False,
16-165260,False,False,False,False,False,False,False,
16-165265,False,False,False,False,False,True,False,
16-165266,False,True,False,False,False,False,False,
16-165267,False,False,False,False,False,False,True,
16-165270,False,False,False,False,False,False,False,
16-165271,False,False,False,False,False,False,True,
16-165273,False,False,False,False,False,True,False,
16-165274,False,False,False,False,False,False,True,
16-165277,False,False,False,False,False,False,True,
16-165278,False,False,False,False,False,True,False,
