BOAMP_AVIS_NUM,D_11_01_Conditiondelai_Receptcandidat,D_11_02_Conditiondelai_Receptoffres,D_11_03_Conditiondelai_Limiteenvoiinvit,D_11_04_Conditiondelai_Validiteoffre,D_11_04_01_Conditiondelai_Validiteoffre_Jusquau,D_11_04_02_Conditiondelai_Validiteoffre_Dureemois,D_11_04_03_Conditiondelai_Validiteoffre_Dureejour,D_11_05_Conditiondelai_Dureesystemequalification
16-164810,,2016-12-19 11:00:00,,CF_NIV_SUIV,,4.0,,
16-164812,,2016-12-02 15:30:00,,CF_NIV_SUIV,,,90.0,
16-164814,,2016-12-07 11:00:00,,CF_NIV_SUIV,,,120.0,
16-164815,,2016-12-07 11:00:00,,CF_NIV_SUIV,,,120.0,
16-164816,,2016-12-12 11:00:00,,CF_NIV_SUIV,,,,
16-164817,,2017-01-06 11:00:00,,CF_NIV_SUIV,,6.0,,
16-164818,,2017-01-04 11:00:00,,CF_NIV_SUIV,,,,
16-164822,,2016-12-19 15:00:00,,CF_NIV_SUIV,,4.0,,
16-164823,,2016-12-02 11:00:00,,CF_NIV_SUIV,,,,
16-164830,,2016-11-30 11:00:00,,CF_NIV_SUIV,,,,
16-164832,,2016-12-06 11:00:00,,CF_NIV_SUIV,,,120.0,
16-164833,,2016-12-15 13:00:00,,CF_NIV_SUIV,,6.0,,
16-164835,,2016-12-19 11:00:00,,CF_NIV_SUIV,,,120.0,
16-164837,,2016-12-14 11:00:00,,CF_NIV_SUIV,,,,
16-164839,,2016-12-13 16:00:00,,CF_NIV_SUIV,,,,
16-164840,,2016-12-08 16:00:00,,CF_NIV_SUIV,,,,
16-164844,,2016-12-20 11:00:00,,CF_NIV_SUIV,,,90.0,
16-164846,,2016-12-09 16:00:00,,CF_NIV_SUIV,,,90.0,
16-164847,,2016-12-15 11:00:00,,CF_NIV_SUIV,,,90.0,
16-164848,,2016-12-05 09:00:00,,CF_NIV_SUIV,,,60.0,
16-164849,,2016-12-12 11:00:00,,CF_NIV_SUIV,,,,
16-164851,,2016-12-06 15:00:00,,CF_NIV_SUIV,,,120.0,
16-164852,,2016-12-19 11:00:00,,CF_NIV_SUIV,,,,
16-164858,,2016-12-13 11:00:00,,CF_NIV_SUIV,,6.0,,
16-164861,,2016-12-19 11:00:00,,CF_NIV_SUIV,,,,
