BOAMP_AVIS_NUM,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
16-178750,Mairie Le Porge,None,"M. DOUGUET Sylvie, Mairie Le Porge",,,1 place Saint-Seurin,33680,Le porge,,05-56-26-50-15,,05-56-26-59-21,,http://www.mairie-leporge.fr/,,,,,,False,False,,False,False
16-178751,Communauté de Communes de La Septaine,None,"M. GOFFINET Pierre-Etienne, Président",,,ZAC des Alouettes,18520,AVORD,,02-48-69-80-77,,,moutierj@cc-laseptaine.fr,http://klekoon.com,http://klekoon.com,,,,,False,False,,False,False
16-178752,E.I.D Atlantique,None,,,FR532,1 rue Toufaire,17300,Rochefort,,(+33) 5-46-88-12-31,,(+33) 5-46-88-06-17,delphine.labbee@eidatlantique.eu,http://www.eidatlantique.eu/,https://www.e-marchespublics.com,,,,,False,True,,False,True
16-178755,VILLE DE PARIS,None,"M. Delvallee Thibaut, Chef de la section locale d'architecture des 11è et 12è arrondissements",,,Direction du patrimoine et de l'architecture Section locale d'architecture des 11è et 12è arrondissements 212 avenue Daumesnil,75012,Paris,,01-44-68-14-91,,01-44-68-14-63,farid.marhyoum@paris.fr,http://marches.maximillien.fr,,,,,,False,False,,False,False
16-178758,Conseil Général de la Haute-Corse,22200003600012,,,FR832,Rond point du Maréchal Leclerc,20405,Bastia cedex 9,,(+33) 4-95-55-69-10,,(+33) 4-95-55-02-37,cp@cg2b.fr,https://www.achatpublic.com,https://www.achatpublic.com,,,,,False,True,,False,True
16-178759,CC Coeur de Chartreuse,None,,,FR714,"Communauté de Communes Cur de ChartreusePôle Tertiaire2, ZI Chartreuse Guiers",38380,Entre Deux Guiers,,(+33) 4-76-66-65-37,,,f.pellet@cc-coeurdechartreuse.fr,http://www.coeurdechartreuse.fr,http://www.marchespublicsaffiches.com,,http://www.marchespublicsaffiches.com,http://www.marchespublicsaffiches.com,,False,True,,False,True
16-178760,SIDEC du Jura,None,Le Président du SIDEC,,,Service Aménagements et Equipements Collectifs1 rue Maurice Chevassu,39000,LONS LE SAUNIER,,03-84-47-04-12,,03-84-24-81-54,service.marches@sidec-jura.fr,http://www.sidec-jura.fr,http://www.sidec-jura.fr,,,,,False,False,,False,False
16-178761,Ville de Blois,None,,Service des marchés publics,FR245,9 Place Saint-Louis,41012,Blois Cedex,,,,,marchespublics@blois.fr,http://www.blois.fr,http://www.marches-securises.fr,,,,,False,False,,False,False
16-178762,COMMUNE DE PINEUILH,None,"M. Mairie de pineulh Marchés publics, Commune de Pineuilh",,,67 rue Jean-Raymond Guyon,33220,Pineuilh,,05-57-46-03-07,,,mairie@pineuilh.fr,,,,,,,False,False,,False,False
16-178766,Département du Bas-Rhin,None,,,FR421,Hôtel du DépartementPlace du Quartier Blanc,67964,Strasbourg Cedex 9,,,,,aapc.scp@cg67.fr,http://www.bas-rhin.fr/acces-direct/les-marches-publics,https://alsacemarchespublics.eu,,https://alsacemarchespublics.eu,https://alsacemarchespublics.eu,,False,True,,False,True
16-178770,Commune de Saint-Nazaire,None,Monsieur le Maire de Saint-Nazaire,,,Place François Blancho bp 416,44606,Saint-Nazaire cédex,,02-40-00-41-63,,02-40-00-40-38,mao@mairie-saintnazaire.fr,http://www.mairie-saintnazaire.fr,http://marchespublics.agglo-carene.fr,,,,,False,False,,False,False
16-178771,Ville de Strasbourg,None,,,FR421,1 parc de l'Etoile,67076,Strasbourg Cedex,,(+33) 3-68-98-51-19,,,marchespublics@strasbourg.eu,http://www.strasbourg.eu/,https://alsacemarchespublics.eu/,,,,,False,False,,False,False
16-178772,Ville de Noyelles-Godault,None,,,FR,,None,Noyelles-Godault,,,,,contact@mairie-noyelles-godault.fr,http://contact@mairie-noyelles-godault.fr,,,http://www.lenumeriquedocument.com,http://www.lenumeriquedocument.com,,False,True,,False,True
16-178773,COMMUNAUTE AGGLOMERATION BOURGES PLUS,None,,,FR241,Direction des Affaires Juridiques Service Commande Publique Bureau 203 11 rue Jacques Rimbault CS 50003,18023,Bourges Cedex,,,,,m.public@agglo-bourges.fr,http://www.agglo-bourgesplus.fr,,,,,,False,True,,False,True
16-178774,Conseil départemental Loire-Atlantique,None,,,FR511,"3, Quai Ceineray CS 94109",44041,NANTES,,(+33) 2-40-99-10-00,,(+33) 2-40-99-11-48,contact@loire-atlantique.fr,http://www.loire-atlantique.fr,https://marches.loire-atlantique.fr,https://marches.loire-atlantique.fr,https://marches.loire-atlantique.fr,https://marches.loire-atlantique.fr,,False,True,,False,True
16-178776,Ville de Nice,None,Monsieur le Maire de la ville de Nice,,,Mairie - 5 rue de l'Hôtel de Ville,06364,Nice cedex 4,,04-97-13-44-70,,04-97-13-29-19,dao@nicecotedazur.org,,,,,,,False,False,,False,False
16-178777,PNR des Monts d'Ardèche,None,"Mme Suzac Violaine, Responsable du pole administratif et financier",,,Maison du Parc Rochemure,07380,Jaujac,,04-75-36-38-66,,,vsuzac@pnrma.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
16-178778,TRISELEC,384392452,,,FR301,usine d'HalluinRD 191,59250,Halluin,,(+33) 3-20-69-99-99,,(+33) 3-20-03-18-18,deligny@triselec.com,http://www.triselec.com,,,,http://www.triselec.com,,False,True,,False,True
16-178779,Conseil Général de Charente-Maritime,None,Conseildpt,,,85 boulevard de la RépubliqueCS 60003,17076,LA ROCHELLE CEDEX 9,,,,,,,,,,,,False,False,,False,False
16-178780,CPAM de Moselle,None,,,FR413,18 rue haute seille,57751,Metz cedex 9,,(+33) 3-87-78-65-57,,,fabienne.cazalis@cpam-moselle.cnamts.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
16-178781,Commune de Carcassonne,21110069800011,,,FR811,32 rue Aimé Ramond,11835,Carcassonne cedex 9,,(+33) 4-68-77-71-11,,(+33) 4-68-77-74-26,marches@mairie-carcassonne.fr,http://www.carcassonne.org,http://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2016_poCmZkBWR2&v=1&selected=0,,,,,False,True,,False,True
16-178783,URSSAF PACA,None,,Service Achats Marchés.,FR82,20 Avenue Viton,13009,Marseille,,(+33) 4-91-83-52-96,,(+33) 4-91-83-47-82,pole_achats-marches.paca@urssaf.fr,http://www.urssaf.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
16-178785,CNAVTS de Paris,None,Jean-Luc DE MUNCK,,,110 avenue de Flandre,75951,Paris cedex 19,,01-55-45-89-62,,01-55-45-87-77,jean-luc.de-munck@cnav.fr,http://www.lassuranceretraite.fr,http://www.meoss.fr,,,,,False,False,,False,False
16-178786,CNSA,None,,,FR101,66 avenue du Maine,75014,Paris,,,,,contact@cnsa.fr,http://www.cnsa.fr/,,,,,,False,True,,False,True
16-178787,Ville de Perpignan,None,M. Le Maire,,,Place de la Loge B.P. 20931,66931,Perpignan Cedex,,,,,,http://mairie-perpignan.fr,http://mairie-perpignan.marcoweb.fr,,,,,False,False,,False,False
16-178788,Commune de Vaulx en Velin,None,"M. DUSSURGEY Pierre, Le Maire",Service Achats Marchés,,Place de la Nation,69518,Vaulx en velin cedex,,04-72-04-80-80,,04-72-04-81-47,service.marches-publics@mairie-vaulxenvelin.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
16-178789,collège Fernande Benoist,None,"Mme PASTOR Alice, intendant",,,rue de thérouanne,59190,hazebrouck,,03-28-48-44-30,,03-28-48-69-42,intendant.0590103s@ac-lille.fr,http://klekoon.com,http://klekoon.com,,,,,False,False,,False,False
16-178790,Ville d'Issy-les-Moulineaux,None,"Mme LANDRY Aurélie, Chargé d'affaires marchés publics",,,62 Rue du Général Leclerc,92130,Issy-les-moulineaux,,01-46-29-44-09,,,aurelie.landry@seineouest.fr,,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
16-178791,Conseil Départemental du Nord,None," Bureau 202, hôtel du département - direction des affaires juridiques et de l'achat public secteur commande publique, Conseil départemental du nord",,,Hôtel du Département - bureau 202 -51 rue gustave delory,59047,Lille,,03-59-73-50-75,,03-59-73-50-59,ddm@lenord.fr,http://www.lenord.fr,https://marchespublics.lenord.fr/,,,,,False,False,,False,False
16-178793,Ville de Strasbourg,None,M. Le Maire de Strasbourg,,,1 parc de l'Etoile,67076,Strasbourg Cedex,,(+33) 3-68-98-51-19,,,marchespublics@strasbourg.eu,http://www.strasbourg.eu/,https://alsacemarchespublics.eu/,,,,,False,False,,False,False
16-178794,C.N.M.S.S.,180090045,,,FR825,"DSG/Service Achat, 247 Avenue Jacques CARTIER",83090,Toulon cedex 9,,(+33) -04-94-16-37-13,,(+33) -04-94-16-39-59,servicedesmarches@cnmss.fr,http://www.cnmss.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
16-178795,Ville de Perpignan,None,M. Le Maire,,,Place de la Loge B.P. 20931,66931,Perpignan Cedex,,,,,marchespublics@mairie-perpignan.com,http://mairie-perpignan.fr,http://mairie-perpignan.marcoweb.fr,,,,,False,False,,False,False
16-178797,DIR Nord,None,"M. Directeur le, DIR Nord",,,44 ter rue Jean Bart CS 20275,59019,Lille cedex,,03-20-49-63-44,,03-20-49-60-68,dirn@developpement-durable.gouv.fr,,http://www.marches-publics.gouv.fr,,,,,False,False,,False,False
16-178799,Communauté de Communes du Talmondais,None,Gantier Emilie,,,35 impasse du Luthier ZI du Pâtis - BP 20,85440,Talmont-saint-hilaire,,02-51-20-72-07,,02-51-90-60-92,marches.publics@cc-talmondais.fr,,http://www.marches-securises.fr,,,,,False,False,,False,False
16-178800,Reseau des acheteurs hospitaliers IDF,None,,,FR,47 rue de charonne,75011,Paris,,(+33) 1-55-78-54-51,,(+33) 1-55-78-54-58,k.lalyre@resah.fr,http://www.resah.fr,https://www.achat-hopital.com,,,,,False,True,,False,True
16-178802,Commune de Mantes la Jolie,None,"M. Marques Baptiste, Responsable marchés publics",,,31 rue Gambetta,78200,Mantes la jolie,,01-34-78-80-86,,01-34-78-81-41,marchespublics@manteslajolie.fr,http://www.manteslajolie.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
16-178804,Ville de Dinard,None,,Madame le Maire de Dinard,FR523,"47, boulevard FéartBP 90136",35801,DINARD CEDEX,,(+33) 2-99-16-00-00,,(+33) 2-99-46-80-09,accueil@ville-dinard.fr,http://www.ville-dinard.fr,https://www.megalisbretagne.org,,,,,False,False,,False,False
16-178805,Centre Hospitalier René Pleven,None,"M. GUYADER Arnaud, Directeur",,,"74, Chateaubriand",22101,DINAN,,02-96-85-72-95,,,dir.economique@ch-dinan.fr,http://klekoon.com,http://klekoon.com,,,,,False,False,,False,False
16-178806,Cour d'appel de Paris - SAR,None,,Bureau des marchés publics,FR10,34 quai des Orfèvres,75055,Paris cedex 01,,(+33) 1-44-32-50-84,,(+33) 1-44-32-96-46,nathalie.planchenault@justice.fr,http://www.marches-publics.gouv.fr,,,https://www.marches-publics.gouv.fr,https://www.marches-publics.gouv.fr,https://www.marches-publics.gouv.fr,False,True,,False,True
16-178808,Cté de Communes Pays de Mirepoix,None,,,FR621,1 chemin de la Mestrise,09500,Mirepoix,,(+33) 5-61-68-13-02,,(+33) 5-61-68-42-73,juridique@paysdemirepoix.org,http://www.paysdemirepoix.org,http://www.e-marchespublics.com,,,,,False,True,,False,True
16-178809,Régie des Eaux de Montpellier 3M,None,M. Le Directeur de la Régie des Eaux M3M,,,391 Rue de la Font Froide CS 90 381,34197,Montpellier Cedex 5,,04-34-08-71-51,,,marches@regiedeseaux.montpellier3m.fr,https://www.montpellier3m.fr,https://marches.montpellier3m.fr,,,,,False,False,,False,False
