BOAMP_AVIS_NUM,D_15_01_Conditionadministrative_Referencemarche,D_15_02_Conditionadministrative_Etudesconcours,D_15_03_Conditionadministrative_Recompenseslaureatoui,D_15_04_Conditionadministrative_Recompensesaureatnon,D_15_05_Conditionadministrative_Recompenseslaureat,D_15_06_Conditionadministrative_Indemnisationparticipants,D_15_07_Conditionadministrative_Conditionsremiseoffres,D_15_08_Conditionadministrative_Conditionsetmodepaiementobtenirdocuments,D_15_09_Conditionadministrative_Datelimiteobtentiondocuments,D_15_10_Conditionadministrative_Documentpayantoui,D_15_10_01_Conditionadministrative_Documentpayantoui_Valeur,D_15_10_01_01_Conditionadministrative_Documentpayantoui_Valeur_Value,D_15_10_01_02_Conditionadministrative_Documentpayantoui_Valeur_Devise,D_15_11_Conditionadministrative_Documentpayantnon,D_15_12_Conditionadministrative_Persouvertureoffresoui,D_15_13_Conditionadministrative_Persouvertureoffresnon,D_15_14_Conditionadministrative_Datedebutattribution,D_15_15_Conditionadministrative_Dateouvertureoffres,D_15_16_Conditionadministrative_Lieuouvertureoffres,D_15_17_Conditionadministrative_Abandonsadoui,D_15_18_Conditionadministrative_Abandonsadnon,D_15_19_Conditionadministrative_Finattributionoui,D_15_20_Conditionadministrative_Finattributionnon,D_15_21_Conditionadministrative_Envoielectroniqueavecoutiloui,D_15_22_Conditionadministrative_Envoielectroniqueavecoutilnon
13-95774,DREALACAL,,False,False,,,"* Si plusieurs offres sont successivement transmises par un même candidat, seule est ouverte la dernière offre reçue, par voie électronique ou sur support matériel, par le maître de l'ouvrage dans le délai fixé pour la remise des offres. Les autres documents sont retournés au candidat sans être ouverts ;* Si plusieurs offres électroniques sont successivement transmises par un même candidat, seule est ouverte la dernière offre reçue, L'offre rejetée est effacée des fichiers du pouvoir adjudicateur sans avoir été lue. Le candidat en est informé.* La copie de sauvegarde, prévue à l'article 41 III du décret no 2016-360 du 25 mars 2016, doit être placée dans un pli scellé comportant la mention lisible 'copie de sauvegarde' ;* Les candidatures ou les offres dans lesquelles un programme informatique malveillant serait détecté par le pouvoir adjudicateur ne feront pas l'objet d'une réparation, le cas échéant, la copie de sauvegarde sera ouverte. Si cette dernière comportait elle aussi un programme informatique malveillant, les candidatures ou les offres seront réputées n'avoir jamais été reçues ;* Le mode de transmission des offres retenu est l'échange électronique sur la plate-forme de dématérialisation. Cependant le pouvoir adjudicateur acceptera les offres transmises sous format papier ou sur un support physique électronique.* Dans l'hypothèse d'un envoi sur support physique électronique, les documents pour lesquels une signature est requise sont signés électroniquement selon les modalités de l'arrêté du 15 juin 2012. Un zip signé ne vaut pas signature des documents qu'il contient. En cas de fichier zippé, chaque document pour lequel une signature est requise doit être signé séparément.* Les offres transmises par échange électronique sur la plate-forme de dématérialisation (http://www.marches-publics.gouv.fr) sous la référence publique 'DREALACAL', le seront suivant les modalités précisées dans le règlement de la consultation.","* Le mode de retrait du dossier de consultation ne conditionne pas le choix du mode de transmission de la candidature ;Les documents de la consultation sont disponibles par voie électronique sur la plate-forme de dématérialisation (http://www.marches-publics.gouv.fr) sous la référence publique 'DREALACAL', après avoir installé les pré-requis techniques et avoir pris connaissance du manuel d'utilisation",,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-48749,,,False,False,,,Les modalités de remises des plis sont mentionnées dans le règlement de la consultation.,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
15-82679,Maintenance CVC/SAN,,False,False,,,Téléchargement des pièces du marché à l'adresse: http://www.ihu-strasbourg.eu/ihu/actualites/appel-offres/,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-102075,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-103913,,,False,False,,,"Les offres papier seront:- soit envoyées en recommandé avec accusé de réception à M. le Député Maire, Hôtel de Ville, service des marchés 65 Grand Place CS 30209 59734 Saint Amand les Eaux cedex- soit déposées contre récépissé au service des marché, hôtel de ville, 65 Grand Place 59230 Saint Amand les Eaux (horaires du service: du lundi au vendredi de 8h30 à 12h00 et de 13h30 à 17h00).L'envoi des offres par voie dématérialisée n'est pas autorisée","Dossier gratuit à télécharger à l'adresse suivante http://www.saint-amand-les-eaux.fr onglet 'votre mairie', rubriques 'marchés publics, 'fournitures courantes et services'",,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-108521,,,True,False,"Le ou les lauréats, ainsi que chaque concurrent non retenu ayant remis des prestations répondant correctement au programme recevra, sous réserve de la décision du maître d'ouvrage, une prime de 40 000 euros (H.T.). La prime versée au futur titulaire est un acompte qui sera à déduire du montant des honoraires.",,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,True
16-112510,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2017-02-24 00:00:00,,,False,False,False,False,True
16-113587,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,True,False,False,False
16-113752,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2017-01-16 00:00:00,,,False,False,False,False,True
16-119547,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-119708,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-119832,,,False,False,,,"Conditions de remise des offres ou des candidatures :  Les offres seront à transmettre, soit par dépôt contre récépissé à l'adresse suivante :Agglomération Seine-EureHôtel d'agglomération1 Place Ernest Thorel27400 LOUVIERSAux horaires suivants :Du lundi au jeudi de 8h30 à 12h30 et de 13h30 à 17h30Le vendredi de 8h30 à 12h30 et de 13h30 à 16h30Soit envoyées par la poste par pli recommandé avec accusé de réception postal, et parvenir à destination avant la date et l'heure limites de réception des offres indiquées sur la page de garde du présent document et ce, à l'adresse suivante :Agglomération Seine-EureCS 1051427 405 LOUVIERS CEDEXLes candidats sont autorisés à transmettre leurs offres par voie électronique.Pour la transmission des offres par voie électronique, le candidat pourra se connecter sur la plate-forme de dématérialisation à l'adresse suivante : https://marchespublics.cg27.frLes questions d'ordre technique seront à déposer sur la plateforme. Les réponses seront également communiquées via la plateforme.",,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-119967,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,Date et heure encore strictement indicatifs à la date d'envoi du présent avis. Lieu non encore déterminé. Ouverture non publique.,False,,2017-02-06 00:00:00,,,False,False,False,False,True
16-120033,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,La réunion d'ouverture des plis n'est pas publique. La date et l'heure indiquées ici sont estimées et n'ont qu'une valeur indicative.,False,,2017-01-17 00:00:00,Mairie de Creil,,False,False,False,False,True
16-122797,MOEDPGICOUV,,False,False,,,"Les candidats intéressés peuvent répondre : Soit prioritairement par voie électronique en utilisant la procédure MPS sur le site : https://marches.e-bourgogne.fr - référence : MOEDPGICOUV Les formats de fichiers rtf, doc, xls, slk, pdf, ppt, pps, dwg, dxf, jpg sont acceptés. - soit par voie papier avec date certaine de remise des plis : - par la poste avec date certaine de remise des plis à l'adresse : Mme la présidente du conseil régional de Bourgogne Franche Comté Direction des achats - 17 boulevard de la Trémouille - cs 23502 - 21035 dijon Cedex - remis en main propre contre récépissé à l'adresse : Secrétariat de la Direction des achats - 16 Bd de la Trémouille à Dijon - dernier étage (horaires d'ouverture : 08h30-12h30 / 13h30-17h45).",Le cahier des charges est téléchargeable gratuitement sur le site https://marches.e-bourgogne.fr (référence : MOEDPGICOUV).,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,False
16-123629,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,"séance non publique, date et heure susceptibles d'être modifiés",False,,2017-01-17 00:00:00,Tampon,,False,False,False,False,True
16-124170,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-124387,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-125373,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2017-01-24 00:00:00,,,False,False,False,False,True
16-126500,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,False,False,False,False,True
16-127526,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,,,,True,False,True,False,False
16-128581,,,False,False,,,,,,CF_NIV_SUIV,CF_NIV_SUIV,,,False,,False,,2017-01-10 00:00:00,,,False,False,False,False,True
