BOAMP_AVIS_NUM,G_04_01_Indexation_Datepublication,G_04_02_Indexation_Datelimitereponse,G_04_03_Indexation_Datefindiffusion,G_04_04_Indexation_Classes,G_04_04_01_Indexation_Classes_Classe,G_04_04_01_01_Indexation_Classes_Classe_Code,G_04_04_01_02_Indexation_Classes_Classe_Libelle,G_04_05_Indexation_Descripteurs,G_04_05_01_Indexation_Descripteurs_Descripteur,G_04_05_01_01_Indexation_Descripteurs_Descripteur_Code,G_04_05_01_02_Indexation_Descripteurs_Descripteur_Libelle,G_04_06_Indexation_Criteressociauxenv,G_04_06_01_Indexation_Criteressociauxenv_Sociaux,G_04_06_02_Indexation_Criteressociauxenv_Environnementaux,G_04_07_Indexation_Deppublication,G_04_08_Indexation_Depprestation,G_04_09_Indexation_Resumeobjet
16-178822,2016-12-13 23:00:00,2017-01-06 15:00:00,2017-01-05 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,365,Voirie,CF_NIV_SUIV,False,False,66,,TRAVAUX DE VOIRIE ET TROTTOIRS - PROGRAMME 2017 - RELANCE DU LOT 3 SUITE A UNE PREMIERE PROCEDURE INFRUCTUEUSE
16-178823,2016-12-13 23:00:00,2017-01-09 11:00:00,2017-01-08 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,197,Maîtrise d'oeuvre,CF_NIV_SUIV,False,False,45,,Marché de maîtrise d'oeuvre pour la construction d'une structure Multi-Accueil à Ouzouer-sur-Loire (45570)
16-178824,2016-12-13 23:00:00,2017-01-04 16:00:00,2017-01-03 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,197,Maîtrise d'oeuvre,CF_NIV_SUIV,False,False,72,,Marché de maîtrise d'oeuvre pour la construction d'ateliers relais sur la ZA du Val de l'Aune à Roëzé sur Sarthe
16-178825,2016-12-20 23:00:00,,2017-02-27 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,197,Maîtrise d'oeuvre,CF_NIV_SUIV,False,False,73,,maîtrise d'oeuvre pour les travaux d'aménagement de salles de classe et de mise en conformité handicap au collège de saint-etienne-de-cuines
16-178826,2016-12-13 23:00:00,2017-01-27 09:00:00,2017-01-26 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,365,Voirie,CF_NIV_SUIV,False,False,69,,TRAVAUX D'ENTRETIEN ET DE PETITS AMENAGEMENTS DE VOIRIESUR LE TERRITOIRE DE LA VILLE DE VILLEFRANCHE-SUR-SAONE
16-178827,2016-12-13 23:00:00,,2017-01-17 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,33,Bâtiment,CF_NIV_SUIV,False,False,75,,Marché de travaux de construction d'un kiosque au jardin du Luxembourg
16-178827,2016-12-13 23:00:00,,2017-01-17 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,111,Equipement hydraulique,CF_NIV_SUIV,False,False,75,,Marché de travaux de construction d'un kiosque au jardin du Luxembourg
16-178828,2016-12-13 23:00:00,2017-02-01 11:30:00,2017-01-31 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,18,Assainissement,CF_NIV_SUIV,False,False,33,,Remplacement de puits de visite - collecteur des eaux usées sud 1500 mm La Teste de Buch 33260
16-178829,2016-12-13 23:00:00,2017-01-04 10:30:00,2017-01-03 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,82,Collecte sélective,CF_NIV_SUIV,False,False,24,,MARCHE PUBLIC DE COLLECTE DU VERRE SUR LE SECTEUR DE BERGERAC
16-178830,2016-12-15 23:00:00,,2016-12-23 23:00:00,CF_NIV_SUIV,CF_NIV_SUIV,,,CF_NIV_SUIV,CF_NIV_SUIV,200,"Matériel agricole, horticole",CF_NIV_SUIV,False,False,18,,Fourniture de pièces détachées et accessoires pour outils de matériels agricoles
